document_id,title,path,revision,status,owner,approver,effective_date
MD-INDEX-001,Medical-device document index,docs/medical-device/DOCUMENT_INDEX.csv,0.1,draft,quality-manager-unassigned,quality-manager-unassigned,
MD-README-001,Medical-device readiness file,docs/medical-device/README.md,0.1,draft,quality-manager-unassigned,legal-manufacturer-unassigned,
MD-PLAN-001,Medical-use implementation plan,docs/medical-device/IMPLEMENTATION_PLAN.md,0.1,draft,program-manager-unassigned,legal-manufacturer-unassigned,
MD-STATUS-001,Medical deployment priority status,docs/medical-device/PRIORITY_STATUS.md,0.1,draft,program-manager-unassigned,quality-manager-unassigned,
MD-AUD-001,Codebase audit,docs/medical-device/CODEBASE_AUDIT.md,0.1,draft,software-lead-unassigned,verification-lead-unassigned,
MD-IU-001,Intended use,docs/medical-device/INTENDED_USE.md,0.1,draft,regulatory-lead-unassigned,clinical-safety-unassigned,
MD-QRG-001,QMS and regulatory work plan,docs/medical-device/QMS_AND_REGULATORY.md,0.1,draft,quality-manager-unassigned,regulatory-lead-unassigned,
MD-SWR-001,Software requirements,docs/medical-device/SOFTWARE_REQUIREMENTS.md,0.1,draft,software-lead-unassigned,verification-lead-unassigned,
MD-TRC-001,Design traceability,docs/medical-device/TRACEABILITY.csv,0.1,draft,software-lead-unassigned,quality-manager-unassigned,
MD-RSK-001,Risk register,docs/medical-device/RISK_REGISTER.csv,0.1,draft,clinical-safety-unassigned,quality-manager-unassigned,
MD-VV-001,Verification and validation plan,docs/medical-device/VERIFICATION_AND_VALIDATION.md,0.1,draft,verification-lead-unassigned,quality-manager-unassigned,
MD-CYB-001,Cybersecurity plan,docs/medical-device/CYBERSECURITY.md,0.1,draft,security-lead-unassigned,quality-manager-unassigned,
MD-CLN-001,Clinical evaluation plan,docs/medical-device/CLINICAL_EVALUATION.md,0.1,draft,clinical-lead-unassigned,regulatory-lead-unassigned,
MD-DOP-001,Deployment and operations plan,docs/medical-device/DEPLOYMENT_AND_OPERATIONS.md,0.1,draft,operations-owner-unassigned,quality-manager-unassigned,
MD-PM-LEGACY-001,Postmarket framework,docs/medical-device/POSTMARKET.md,0.1,draft,quality-manager-unassigned,clinical-safety-unassigned,
MD-RR-001,Release readiness manifest,docs/medical-device/RELEASE_READINESS.json,1,draft,quality-manager-unassigned,legal-manufacturer-unassigned,
MD-EXEC-001,Medical deployment execution workstreams,docs/medical-device/EXECUTION_WORKSTREAMS.json,1,draft,program-manager-unassigned,legal-manufacturer-unassigned,
MD-GOV-001,Governance and product definition execution,docs/medical-device/governance/GOVERNANCE_AND_PRODUCT_DEFINITION.md,0.1,draft,executive-sponsor-unassigned,legal-manufacturer-unassigned,
MD-GOV-FRM-001,Governance decision register,docs/medical-device/governance/DECISION_REGISTER.csv,0.1,template,executive-sponsor-unassigned,legal-manufacturer-unassigned,
MD-MDE-001,Model and data evidence plan,docs/medical-device/model-data/MODEL_DATA_EVIDENCE_PLAN.md,0.1,draft,model-owner-unassigned,clinical-and-statistics-unassigned,
MD-MDE-002,Research evidence snapshot,docs/medical-device/model-data/RESEARCH_EVIDENCE_SNAPSHOT.json,1,verified_research_evidence,model-owner-unassigned,verification-lead-unassigned,
MD-DLR-001,Data and model license register,docs/medical-device/model-data/DATA_LICENSE_REGISTER.csv,0.1,draft,legal-owner-unassigned,quality-manager-unassigned,
MD-MDE-003,Model data and clinical evidence execution,docs/medical-device/model-data/MODEL_DEVELOPMENT_EXECUTION.md,0.1,draft,model-and-clinical-leads-unassigned,clinical-safety-and-legal-unassigned,
MD-MDE-FRM-001,Dataset intake register,docs/medical-device/model-data/DATASET_INTAKE_REGISTER.csv,0.1,template,data-owner-unassigned,legal-privacy-and-clinical-unassigned,
MD-MDE-FRM-002,Clinical study register,docs/medical-device/model-data/CLINICAL_STUDY_REGISTER.csv,0.1,template,clinical-lead-unassigned,clinical-safety-and-statistics-unassigned,
MD-MDE-004,Model performance validation protocol,docs/medical-device/model-data/PERFORMANCE_VALIDATION_PROTOCOL.md,0.1,draft,clinical-validation-lead-unassigned,pathology-statistics-quality-unassigned,
MD-MDE-005,Model performance statistical analysis plan,docs/medical-device/model-data/STATISTICAL_ANALYSIS_PLAN.md,0.1,draft,biostatistician-unassigned,clinical-pathology-quality-unassigned,
MD-MDE-006,Controlled model-performance metric dictionary,docs/medical-device/model-data/METRIC_DEFINITIONS.md,0.1,draft,model-verification-unassigned,pathology-statistics-unassigned,
MD-MDE-FRM-003,Subgroup and failure taxonomy,docs/medical-device/model-data/SUBGROUP_AND_FAILURE_TAXONOMY.csv,0.1,template,clinical-validation-unassigned,clinical-safety-and-statistics-unassigned,
MD-MDE-FRM-004,Frozen model card template,docs/medical-device/model-data/FROZEN_MODEL_CARD.template.json,1,template,model-owner-unassigned,quality-manager-unassigned,
MD-MDE-FRM-005,Clinical evaluation manifest template,docs/medical-device/model-data/EVALUATION_MANIFEST.template.csv,0.1,template,clinical-validation-lead-unassigned,statistics-unassigned,
MD-MDE-FRM-006,Uncertainty calibration input template,docs/medical-device/model-data/UNCERTAINTY_CALIBRATION.template.csv,0.1,template,model-verification-unassigned,statistics-unassigned,
MD-MDE-FRM-007,Uncertainty held-out evaluation input template,docs/medical-device/model-data/UNCERTAINTY_EVALUATION.template.csv,0.1,template,model-verification-unassigned,clinical-safety-and-statistics-unassigned,
MD-SQ-FRM-002,Frozen deployment topology manifest,docs/medical-device/site/TOPOLOGY_MANIFEST.template.json,1,template,operations-owner-unassigned,site-quality-unassigned,
MD-QM-001,Quality manual,docs/medical-device/qms/QUALITY_MANUAL.md,0.1,draft,quality-manager-unassigned,legal-manufacturer-unassigned,
MD-SOP-001,Document record and training control,docs/medical-device/qms/SOP_DOCUMENT_AND_RECORD_CONTROL.md,0.1,draft,quality-manager-unassigned,legal-manufacturer-unassigned,
MD-SOP-002,Design risk change and release,docs/medical-device/qms/SOP_DESIGN_RISK_CHANGE_RELEASE.md,0.1,draft,quality-manager-unassigned,clinical-safety-and-regulatory-unassigned,
MD-SOP-003,Quality events and postmarket,docs/medical-device/qms/SOP_QUALITY_EVENTS_AND_POSTMARKET.md,0.1,draft,quality-manager-unassigned,clinical-safety-and-regulatory-unassigned,
MD-SOP-004,Suppliers audit and management review,docs/medical-device/qms/SOP_SUPPLIER_AUDIT_MANAGEMENT_REVIEW.md,0.1,draft,quality-manager-unassigned,legal-manufacturer-unassigned,
MD-FRM-001,Minimum controlled record fields,docs/medical-device/qms/RECORD_TEMPLATES.md,0.1,template,quality-manager-unassigned,quality-manager-unassigned,
MD-QMS-002,QMS activation and objective record plan,docs/medical-device/qms/QMS_ACTIVATION.md,0.1,draft,quality-manager-unassigned,legal-manufacturer-unassigned,
MD-QMS-FRM-001,QMS record register,docs/medical-device/qms/QMS_RECORD_REGISTER.csv,0.1,template,quality-manager-unassigned,quality-manager-unassigned,
MD-IVV-001,Risk management and independent verification execution,docs/medical-device/verification/RISK_AND_VERIFICATION_EXECUTION.md,0.1,draft,verification-lead-unassigned,clinical-safety-and-quality-unassigned,
MD-IVV-FRM-001,Verification anomaly register,docs/medical-device/verification/ANOMALY_REGISTER.csv,0.1,template,verification-lead-unassigned,quality-manager-unassigned,
MD-REG-001,Regulatory strategy,docs/medical-device/regulatory/REGULATORY_STRATEGY.md,0.1,draft,regulatory-lead-unassigned,legal-manufacturer-unassigned,
MD-REG-002,Claims matrix,docs/medical-device/regulatory/CLAIMS_MATRIX.csv,0.1,draft,regulatory-lead-unassigned,clinical-safety-unassigned,
MD-REG-003,Standards plan,docs/medical-device/regulatory/STANDARDS_PLAN.csv,0.1,draft,regulatory-lead-unassigned,quality-manager-unassigned,
MD-RSE-001,Regulatory classification and submission execution,docs/medical-device/regulatory/REGULATORY_SUBMISSION_EXECUTION.md,0.1,draft,regulatory-lead-unassigned,legal-manufacturer-unassigned,
MD-RSE-FRM-001,Market authorization register,docs/medical-device/regulatory/MARKET_AUTHORIZATION_REGISTER.csv,0.1,template,regulatory-lead-unassigned,legal-manufacturer-unassigned,
MD-PCS-001,Privacy and cybersecurity operations,docs/medical-device/privacy-security/PRIVACY_CYBERSECURITY_OPERATIONS.md,0.1,draft,security-and-privacy-owners-unassigned,legal-manufacturer-unassigned,
MD-PCS-002,Threat register,docs/medical-device/privacy-security/THREAT_REGISTER.csv,0.1,draft,security-lead-unassigned,clinical-safety-unassigned,
MD-SPQ-001,Security and privacy qualification execution,docs/medical-device/privacy-security/SECURITY_PRIVACY_QUALIFICATION.md,0.1,draft,security-and-privacy-leads-unassigned,quality-and-legal-manufacturer-unassigned,
MD-SPQ-FRM-001,Security and privacy evidence register,docs/medical-device/privacy-security/SECURITY_PRIVACY_EVIDENCE_REGISTER.csv,0.1,template,security-and-privacy-leads-unassigned,quality-manager-unassigned,
MD-HFE-001,Human factors labeling and training,docs/medical-device/human-factors/HUMAN_FACTORS_AND_LABELING.md,0.1,draft,usability-lead-unassigned,clinical-and-regulatory-unassigned,
MD-HFE-002,Task and use-error analysis,docs/medical-device/human-factors/TASK_USE_ERROR_ANALYSIS.csv,0.1,draft,usability-lead-unassigned,clinical-safety-unassigned,
