taxonomy_id,kind,name,status,locked_definition,required_metadata,primary_failure_measures,clinical_disposition,owner,approver
SG-SITE,subgroup,site,definition_pending,One row per approved acquisition and clinical-use site,site_id,AJI+;PQ;detection F1;count error;failure-to-return,unsupported sites are outside labeling,clinical-validation-unassigned,statistics-unassigned
SG-TISSUE,subgroup,tissue_or_tumor,definition_pending,Approved intended-use tissue and tumor ontology,tissue_type;tumor_type,AJI+;PQ;detection F1;count error;FP/FN,worst supported group must meet approved criteria,pathology-unassigned,clinical-safety-unassigned
SG-SCANNER,subgroup,scanner,definition_pending,Manufacturer model firmware and acquisition software combination,scanner_manufacturer;scanner_model;scanner_firmware,PQ;detection F1;count bias;failure-to-return,unqualified combinations are rejected,pathology-informatics-unassigned,quality-unassigned
SG-STAIN,subgroup,stain,definition_pending,Approved stain protocol laboratory and batch envelope,stain_name;stain_protocol;stain_batch;stain_site,PQ;detection F1;count bias;QC detection,out-of-envelope stain is rejected,pathology-unassigned,quality-unassigned
SG-DENSITY,subgroup,nucleus_density,definition_pending,Development-set locked density cut points per physical area,reference_count;area_mm2,detection recall;merge rate;count error,dense worst group requires explicit acceptance,statistics-unassigned,pathology-unassigned
FM-EDGE-IMAGE,failure,image_boundary,definition_pending,Reference instance intersects the analyzed image boundary,edge_image,fragmentation;duplicate rate;FN;count bias,review or exclusion follows approved labeling,verification-unassigned,pathology-unassigned
FM-EDGE-TILE,failure,internal_tile_seam,definition_pending,Reference instance intersects a model tile seam while remaining internal to source image,edge_tile,fragmentation;duplicate rate;FN;count bias,material seam failure blocks topology,verification-unassigned,quality-unassigned
FM-DENSE,failure,touching_or_confluent,definition_pending,Qualified pathologist label or locked adjacency/density rule,touching_confluent;density_group,merge rate;detection recall;count error,material failure blocks supported dense cases,pathology-unassigned,clinical-safety-unassigned
FM-BLUR,failure,blur_or_out_of_focus,definition_pending,Locked focus-quality threshold and pathology review,artifact_blur;focus_score,QC detection;silent error;FP/FN;count error,reject or require rescanning,pathology-informatics-unassigned,clinical-safety-unassigned
FM-FOLD,failure,tissue_fold,definition_pending,Pathologist-confirmed fold or locked QC definition,artifact_fold,QC detection;silent error;FP/FN;count error,reject affected region or slide,pathology-unassigned,clinical-safety-unassigned
FM-PEN,failure,pen_or_ink,definition_pending,Pathologist-confirmed marking in analyzed tissue,artifact_pen,QC detection;silent error;FP rate,reject affected region,pathology-unassigned,clinical-safety-unassigned
FM-DEBRIS,failure,debris_or_bubble,definition_pending,Pathologist-confirmed debris bubble or coverslip contaminant,artifact_debris_bubble,QC detection;silent error;FP rate,reject affected region,pathology-unassigned,clinical-safety-unassigned
FM-COMP,failure,compression,definition_pending,Locked supported codec and compression-quality envelope,compression_codec;compression_quality,QC detection;PQ change;FP/FN,reject unsupported compression,verification-unassigned,quality-unassigned
FM-STAIN,failure,stain_shift,definition_pending,Locked color/stain envelope derived only from development data,stain_shift_score;stain_group,QC detection;PQ;FP/FN;count bias,reject or rescan/restain per labeling,pathology-unassigned,clinical-safety-unassigned
FM-NECROSIS,failure,necrosis,definition_pending,Pathologist-confirmed necrotic region,artifact_necrosis,FP/FN;count bias;uncertainty,scope according to intended use,pathology-unassigned,clinical-safety-unassigned
FM-CRUSH,failure,crush_or_cautery,definition_pending,Pathologist-confirmed crush or cautery artifact,artifact_crush_cautery,FP/FN;count bias;uncertainty,reject or flag per labeling,pathology-unassigned,clinical-safety-unassigned
FM-TEAR,failure,tissue_tear,definition_pending,Pathologist-confirmed tear chatter or sectioning defect,artifact_tear,FP/FN;count bias;QC detection,reject affected region,pathology-unassigned,clinical-safety-unassigned
FM-EMPTY,failure,empty_or_background,locked,Reference contains zero nuclei,reference_count,FP count;failure-to-return,must not silently invent objects,verification-unassigned,pathology-unassigned
FM-UNSUPPORTED,failure,unsupported_input,definition_pending,Input violates any locked specimen stain scanner resolution or quality requirement,input_supported;unsupported_reason,rejection sensitivity;silent plausible result,must be rejected before inference,clinical-safety-unassigned,quality-unassigned
