risk_id,hazardous_situation,foreseeable_sequence,potential_harm,initial_risk,controls,verification,residual_risk,status
RISK-001,Missed nuclei,foreground retained but disconnected components receive no marker,incorrect quantitative result may influence review,High,"SWR-001; human source-overlay review; output not diagnostic",test_postprocessing_retains_every_disconnected_foreground_component,TBD,open
RISK-002,Fused or fragmented nuclei,model or watershed separates instances incorrectly,biased counts or morphology,High,"locked validated postprocessing; external performance/failure-mode validation; user review",clinical protocol plus instance-metric suite,TBD,open
RISK-003,Unsupported specimen accepted,file type valid but stain/tissue/scanner outside envelope,misleading output,High,"site workflow controls; metadata/quality gate to be implemented after intended-use freeze",site acceptance and external validation,TBD,open
RISK-004,Wrong model loaded,checkpoint replaced or configuration points to unapproved or partially written bytes,unvalidated behavior,High,"SWR-005; SWR-006; SWR-016; atomic durable checkpoint replacement; read-only model mount",digest runtime-readiness and atomic-artifact tests,TBD,controlled
RISK-005,Parameter drift,user changes thresholds from validated values,unvalidated behavior,High,"SWR-007; controlled UI locks",controlled API tests,TBD,controlled
RISK-006,False confidence,score or augmentation variance presented as probability/uncertainty,over-reliance by user,High,"SWR-010; precise labeling; human-factors validation",API/UI semantic review,TBD,controlled
RISK-007,Provenance loss,result detached from input/model/release,wrong result attribution,High,"SWR-008; PDF plus JSON; output hashes in audit",provenance/report tests,TBD,controlled
RISK-008,Audit alteration or truncation,a record is edited/deleted or concurrent writers fork/order the chain,loss of accountability,High,"SWR-009; monotonic sequence; process lock; persisted head; restricted append storage; external immutable export required",tamper/truncation/multiprocess tests and site qualification,TBD,controlled
RISK-009,Unauthorized use,attacker or untrained user invokes analysis or an unapproved browser origin reaches the service,privacy or clinical misuse,High,"gateway identity/RBAC; service token; actor audit; exact HTTPS origin allowlist; TLS",runtime/API tests plus penetration and access-control tests,TBD,open
RISK-010,Malicious or oversized request,image decoder exploit decompression bomb or streamed multipart body exceeds policy,denial of service or compromise,High,"SWR-003; SWR-004; pre-parser complete-body limit; file/pixel limits; patched Pillow; sandboxed non-root container",declared/chunked body tests deterministic malformed-image corpus plus independent fuzz/security/load testing,TBD,controlled
RISK-011,Metric evidence mislabeled,AJI+ reported as AJI or wrong PQ threshold,invalid performance claim,High,"SWR-002; metric correction notice; independent statistical verification",brute-force metrics and baseline rerun,TBD,controlled
RISK-012,Data leakage,identifiable data enters logs/reports or unauthorized storage,privacy harm,High,"data minimization; no pixels in audit; DPA/DPIA; access and retention policy",privacy review and log inspection,TBD,open
RISK-013,Service or accelerator failure,analysis interrupted or stale result displayed,delayed or incorrect workflow,Medium,"fail-closed readiness; request IDs; transactional UI; operational monitoring",fault injection and recovery tests,TBD,open
RISK-014,Distribution license breach,non-commercial dataset-derived model commercially released,legal interruption and unavailable product,High,"legal/license gate; independently licensed training data",documented counsel approval,TBD,open
RISK-015,Vulnerable or untracked runtime dependency,release contains an unreviewed component or known vulnerability,service compromise/privacy harm or unavailable product,High,"SWR-014; SWR-015; SWR-017; hash lock; Python and container CycloneDX SBOMs; pinned CodeQL and Trivy gates; recurring vulnerability monitoring",SBOM unit/CI verification CodeQL/Trivy records and independent release scan,TBD,controlled
RISK-016,Malicious or corrupted checkpoint,an untrusted training or inference artifact triggers unrestricted object deserialization,code execution or compromised model-development evidence,High,"SWR-016; weights-only loading; distinct versioned artifact contracts; strict state loading; approved inference hash",safe-schema serialization and legacy-rejection tests plus release artifact verification,TBD,controlled
