task_id,user,critical_task,foreseeable_use_error,hazard_or_harm,risk_controls,validation_scenario,status
UT-001,pathologist or lab user,authenticate and select correct site/case context,uses shared account or wrong case,result attributed to wrong person or unauthorized disclosure,named MFA account site scope canonical actor and LIS-side case check,wrong-account and wrong-case scenario,external_control_pending
UT-002,lab user,select supported input,uploads unsupported stain tissue scanner resolution or corrupted artifact,plausible but wrong segmentation and quantitative result,input envelope gate quality checks clear rejection and IFU,unsupported and borderline input set,open
UT-003,pathologist,confirm source and overlay identity,reviews stale or mismatched image/output,clinical interpretation of wrong result,transactional UI input/result hashes request ID release/model provenance side-by-side source,interruption and back-navigation scenario,partially_controlled
UT-004,pathologist,interpret candidate contours,assumes all nuclei are found and correctly separated,biased count or morphology with clinical influence,source overlay review failure gallery limitations and validated performance,dense fused fragmented missed and edge cases,validation_pending
UT-005,pathologist,interpret foreground score and TTA disagreement,treats values as malignancy probability or calibrated confidence,over-reliance and missed independent review,non-probability wording training tooltip and comprehension check,teach-back and result interpretation,partially_controlled
UT-006,pathologist,reject questionable output,accepts output despite obvious artifact or cannot reject,incorrect result retained,visible reject action reason capture no forced acceptance and standard-method fallback,artifact and low-confidence workflow,validation_pending
UT-007,user,respond to model audit readiness or provenance failure,retries or continues outside controlled system,untraceable or unvalidated result influences care,fail closed actionable message downtime SOP and support escalation,each controlled failure state,partially_controlled
UT-008,user,export result,exports without identity/version provenance or sends to unauthorized destination,mix-up or privacy breach,bundled PDF/JSON provenance role-limited export site destination policy,export inspection and unauthorized path,external_control_pending
UT-009,administrator,install exact approved release,deploys wrong image model config secret or writable mount,unvalidated behavior unauthorized use or audit loss,signed immutable manifest IQ checks digest settings permissions and network,misconfiguration and substitution OQ,validation_pending
UT-010,administrator,backup restore and rollback,restores mismatched model/audit/config or loses chain,wrong output or missing evidence,versioned encrypted backup compatibility validation chain verification signed rollback,restore and rollback drill,validation_pending
UT-011,support or user,report suspected malfunction or harmful output,records as ordinary IT ticket and misses vigilance clock,late containment or regulatory report,trained complaint intake always-visible contact awareness timestamp and escalation,complaint simulation,validation_pending
UT-012,user,operate during outage,delays urgent workflow or uses screenshots/stale results,clinical delay or wrong result,site downtime method status communication no cached result presentation and recovery reconciliation,outage and recovery simulation,external_control_pending
